City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,college,64.8569,-147.8028,15.58,52,100,24.16,US,1682286166
83,yeppoon,-23.1333,150.7333,65.98,71,75,20.69,AU,1682286228
84,gunjur,13.2019,-16.7339,75.27,69,0,5.75,GM,1682286228
85,isafjordur,66.0755,-23.124,33.58,67,65,4.97,IS,1682286228
86,nuku'alofa,-21.1333,-175.2,80.94,74,75,12.66,TO,1682286228
87,penaranda de bracamonte,40.9011,-5.2003,53.98,91,89,6.78,ES,1682286013
88,glace bay,46.1969,-59.957,47.05,74,40,11.5,CA,1682286229
89,punta arenas,-53.15,-70.9167,48.31,61,0,4.61,CL,1682286142
90,bilibino,68.0546,166.4372,27.18,64,39,5.46,RU,1682286229
91,bethel,41.3712,-73.414,62.02,72,75,10.36,US,1682285978
92,nueva gerona,21.8833,-82.8,82.35,66,46,8.12,CU,1682286229
93,ilulissat,69.2167,-51.1,33.82,93,100,3.44,GL,1682286229
94,mitu,1.1983,-70.1733,76.53,93,91,2.08,CO,1682286230
95,tiksi,71.6872,128.8694,11.1,96,80,3.83,RU,1682285933
96,hobyo,5.3505,48.5268,83.68,76,100,12.93,SO,1682286230
97,bejaia,36.7559,5.0843,63.14,61,0,3.76,DZ,1682286230
98,klyuchi,52.2667,79.1667,45.66,54,89,16.91,RU,1682286230
99,bac lieu,9.285,105.7244,81.88,76,91,6.31,VN,1682286230
100,shira,54.4911,89.9531,33.91,65,63,4.61,RU,1682286230
101,pindiga,9.9833,10.9333,84.38,47,93,9.17,NG,1682286231
102,wagar,16.1525,36.2032,87.6,34,89,7.38,SD,1682286231
103,quinte west,44.1834,-77.5662,53.2,54,75,13.8,CA,1682286231
104,thompson,55.7435,-97.8558,35.76,48,20,9.22,CA,1682286231
105,fort bragg,35.139,-79.006,74.82,32,0,9.22,US,1682286231
106,atkarsk,51.8718,45.0078,53.15,55,98,6.44,RU,1682286231
107,umm kaddadah,13.6017,26.6876,82.47,27,36,4.54,SD,1682286232
108,tame,6.461,-71.73,82.4,68,92,2.59,CO,1682286232
109,longyearbyen,78.2186,15.6401,13.84,85,0,10.36,SJ,1682286232
110,cabo san lucas,22.8909,-109.9124,91.71,23,20,9.22,MX,1682285675
111,mineiros,-17.5694,-52.5511,69.35,85,43,4.07,BR,1682286232
112,taiyuan,37.8694,112.5603,39.06,87,100,4.47,CN,1682286232
113,kavaratti,10.5669,72.642,83.12,72,77,10.92,IN,1682286233
114,petropavlovsk-kamchatsky,53.0452,158.6483,36.19,56,75,2.24,RU,1682286196
115,yendi,9.4427,-0.0099,81.61,57,100,6.58,GH,1682286233
116,kiunga,-6.1219,141.2906,71.49,99,100,3.53,PG,1682286233
117,invercargill,-46.4,168.35,53.02,82,83,1.99,NZ,1682286233
118,tidjikja,18.5564,-11.4271,84.58,14,0,9.51,MR,1682286233
119,vadso,70.0744,29.7487,27.48,86,40,20.71,NO,1682286234
120,al kut,32.5147,45.819,84.54,25,98,5.66,IQ,1682286234
121,acarau,-2.8856,-40.12,78.62,83,99,11.74,BR,1682286234
122,ketchikan,55.3422,-131.6461,46.87,93,100,12.66,US,1682286234
123,georgetown,5.4112,100.3354,78.73,94,20,4.61,MY,1682286235
124,ivins,37.1686,-113.6794,76.15,21,32,1.01,US,1682286235
125,san patricio,28.017,-97.5169,71.46,86,100,10.54,US,1682286235
126,hawaiian paradise park,19.5933,-154.9731,81.91,86,75,10.36,US,1682286235
127,mehran,33.1222,46.1646,81.77,29,63,5.91,IR,1682286235
128,princeville,45.7668,-61.2985,50.65,71,0,8.05,CA,1682286117
129,puerto deseado,-47.7503,-65.8938,57.94,49,99,11.03,AR,1682286236
130,constantia,44.1833,28.65,47.08,77,10,7.67,RO,1682286236
131,wenchang,30.904,118.4887,51.78,93,100,11.68,CN,1682286236
132,cirkulane,46.3453,15.9952,61.02,82,98,7.83,SI,1682286236
133,haiku-pauwela,20.9219,-156.3051,80.62,51,20,9.22,US,1682286236
134,coquimbo,-29.9533,-71.3436,64.13,67,0,10.36,CL,1682286236
135,el calafate,-50.3408,-72.2768,47.98,89,65,3.24,AR,1682286237
136,mount isa,-20.7333,139.5,71.37,46,40,6.91,AU,1682286237
137,messini,37.0511,22.0078,61.18,94,12,2.3,GR,1682286237
138,vacaria,-28.5122,-50.9339,55.85,85,37,6.31,BR,1682286237
139,mugia,43.1041,-9.2179,62.17,94,66,7.7,ES,1682286237
140,mariehamn,60.0973,19.9348,42.66,100,100,9.22,AX,1682286238
141,aasiaat,68.7098,-52.8699,32.4,98,100,10.87,GL,1682286238
142,hithadhoo,-0.6,73.0833,83.1,76,97,5.32,MV,1682285939
143,paracuru,-3.41,-39.0306,84.11,82,100,8.81,BR,1682286183
144,batroun,34.2553,35.6581,58.55,68,0,8.32,LB,1682286238
145,vilyuysk,63.7553,121.6247,15.98,93,75,4.97,RU,1682286239
146,port elizabeth,-33.918,25.5701,69.1,82,0,2.3,ZA,1682286239
147,gevas,38.2968,43.1083,53.2,68,42,7.25,TR,1682286239
148,sitka,57.0531,-135.33,51.69,58,100,10.36,US,1682286239
149,khanty-mansiysk,61.0042,69.0019,33.91,86,0,7.0,RU,1682286239
150,comodoro rivadavia,-45.8667,-67.5,66.06,34,0,3.44,AR,1682286226
151,tocopilla,-22.092,-70.1979,69.1,79,12,5.86,CL,1682286240
152,topki,55.2769,85.6163,39.0,82,100,7.87,RU,1682286240
153,andergrove,-21.0833,149.1833,72.64,76,100,22.73,AU,1682285957
154,marsh harbour,26.5412,-77.0636,75.83,67,10,8.43,BS,1682286240
155,yellowknife,62.456,-114.3525,50.52,37,20,6.91,CA,1682286240
156,urumqi,43.801,87.6005,45.55,31,0,13.42,CN,1682286241
157,prince george,53.9166,-122.753,53.04,71,75,9.22,CA,1682286234
158,nguigmi,14.2495,13.1092,87.46,23,8,6.2,NE,1682286241
159,ariquemes,-9.9133,-63.0408,74.34,95,82,2.98,BR,1682286242
160,vernon,50.2581,-119.2691,51.6,80,100,3.44,CA,1682286242
161,fortuna foothills,32.6578,-114.4119,98.55,12,0,8.05,US,1682286242
162,mata-utu,-13.2816,-176.1745,81.18,78,76,9.15,WF,1682286242
163,batu pahat,1.8548,102.9325,76.55,92,99,4.54,MY,1682286243
164,iqaluit,63.7506,-68.5145,33.53,86,100,10.36,CA,1682286116
165,brena alta,28.65,-17.7833,62.55,77,20,13.8,ES,1682286243
166,gleno,-8.7211,125.4359,69.8,90,87,3.87,TL,1682286244
167,chonchi,-42.6128,-73.8092,56.41,93,72,1.03,CL,1682286244
168,vorgashor,67.5833,63.95,13.21,88,100,11.83,RU,1682286244
169,sao joao da barra,-21.6403,-41.0511,71.69,74,15,8.43,BR,1682286245
170,marbella,36.5154,-4.8858,69.26,52,8,4.03,ES,1682286245
171,tazovsky,67.4667,78.7,32.07,97,100,15.82,RU,1682286245
172,hammerfest,70.6634,23.6821,28.85,80,75,9.22,NO,1682286245
